"sample","latitude","longitude","date","site","location","successful.count","fov.limited","fov.open","fov.total.points.annotated","detailed.consolidated.boulder.turfmat","detailed.consolidated.cobbles.nobiota","detailed.consolidated.cobbles.turfmat","detailed.consolidated.rock.nobiota","detailed.consolidated.rock.turfmat","detailed.consolidated.rock.veneer","detailed.invertebratecomplex.complex1.","detailed.macroalgae.encrusting.red","detailed.macroalgae.erectcoursebranching.brown","detailed.macroalgae.erectcoursebranching.red","detailed.macroalgae.erectfinebranching.green","detailed.macroalgae.erectfinebranching.red","detailed.macroalgae.largecanopy.forming.eckloniaradiata","detailed.macroalgae.smallmixed.","detailed.octocoral.black.branching.3d.","detailed.octocoral.black.fan.2d.","detailed.sponges.crusts.","detailed.sponges.erectforms.","detailed.sponges.hollowforms.","detailed.sponges.massiveforms.","detailed.sponges.smallmixed.","detailed.unconsolidated.pebble.gravel.biogenic.","detailed.unconsolidated.pebble.gravel.gravel2.10mm.","detailed.unconsolidated.pebble.gravel.pebble10.64mm.","detailed.unconsolidated.sand.mud.coarsesand.","detailed.unconsolidated.sand.mud.finesand.","detailed.total.points.annotated","mean.relief","sd.relief"
"npz6.24",-28.0787,113.4414,20210512,"npz6.27","NPZ6","Yes",22,58,80,0,0,0,0,1,0,0,0,0,5,2,11,0,0,0,0,2,0,3,2,0,0,0,0,0,0,26,3,0
"npz6.14",-28.0937,113.4213,20210512,"npz6.14","NPZ6","Yes",19,61,80,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,3,0,0,0,0,0,0,23,2.84615384615385,0.36794648440312
"npz6.6",-28.0837,113.4439,20210512,"npz6.6","NPZ6","Yes",7,33,40,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0
"npz6.2",-28.0612,113.4339,20210512,"npz6.2","NPZ6","Yes",14,66,80,0,4,12,0,0,0,0,3,0,0,1,3,1,1,0,0,0,3,0,0,0,0,0,0,0,0,28,1.45833333333333,0.508977377704051
"npz6.18",-28.0962,113.4438,20210512,"npz6.19","NPZ6","Yes",7,73,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,1,0
"npz6.22",-28.0687,113.4512,20210512,"npz6.23","NPZ6","Yes",14,66,80,0,0,1,0,0,0,1,0,1,7,5,8,4,3,0,0,3,1,0,0,0,0,0,0,0,2,36,2.85714285714286,0.356348322549899
"npz6.20",-28.0736,113.4593,20210512,"npz6.21","NPZ6","Yes",15,64,79,0,5,5,0,2,0,0,3,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,3,0,23,1.15,0.366347548532523
"npz6.26",-28.0937,113.4563,20210512,"npz6.29","NPZ6","Yes",13,67,80,0,0,0,0,11,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2.08,0.276887462097269
"npz6.27",-28.0562,113.4464,20210512,"npz6.30","NPZ6","Yes",15,65,80,0,1,0,0,0,0,0,0,0,7,0,14,9,0,0,0,0,0,0,0,0,0,0,0,0,1,32,3,0
"npz6.8",-28.0688,113.3413,20210512,"npz6.8","NPZ6","Yes",11,69,80,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,27,0,0
"npz6.15",-28.0588,113.3488,20210512,"npz6.15","NPZ6","Yes",15,65,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,26,0,0
"npz6.9",-28.0386,113.3814,20210512,"npz6.9","NPZ6","Yes",13,66,79,0,0,12,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,30,1,0
"npz6.13",-28.0611,113.3714,20210512,"npz6.13","NPZ6","Yes",12,68,80,0,0,0,0,1,0,10,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,7,0,21,2.14285714285714,0.853563956930837
"npz6.10",-28.0787,113.3764,20210512,"npz6.10","NPZ6","Yes",21,59,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,11,0,28,0,0
"npz6.17",-28.0837,113.3839,20210512,"npz6.18","NPZ6","Yes",6,33,39,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,0,0,14,2.57142857142857,0.646206172658864
"npz6.4",-28.0814,113.3988,20210512,"npz6.4","NPZ6","Yes",16,64,80,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,30,1,0
"npz6.21",-28.0714,113.3992,20210512,"npz6.22","NPZ6","Yes",8,69,77,0,0,0,0,2,0,10,0,0,0,0,0,0,0,4,0,0,4,1,5,3,0,0,0,2,0,31,2.15384615384615,0.36794648440312
"npz6.5",-28.0636,113.3935,20210512,"npz6.5","NPZ6","Yes",16,64,80,0,1,0,1,2,3,1,2,0,0,0,0,0,0,2,1,1,0,1,6,0,0,1,1,3,0,26,2,0.866025403784439
"npz6.12",-28.0512,113.2763,20210512,"npz6.12","NPZ6","No",19,61,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,0
"npz6.C01",-28.1078,113.3706,20210512,NA,"NPZ6","Yes",18,62,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0,0
